Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,label
Hüttenes-Albertus Chemische Werke GmbH,326,0.106594021,0.33463035,0.085443038,0.06557377,0.227979275,0.020526765,1,cluster_2
Impag AG,23107,5.59E-04,0,0.041139241,0,0.003454231,0,0.840336134,cluster_0
STOCKMEIER Chemie GmbH & Co. KG,10176,0.00474993,9.73E-04,0.037974684,1,0.02417962,1,0,cluster_4
Rascor International AG,3406,0.053785974,0.075875486,0.03164557,0.016393443,0.18134715,0,0.64171123,cluster_2
JARBUR EUROCHEM Spółka Jawna,19068,1,0.918287938,0.661392405,0.016393443,0.83074266,0.007647553,0,cluster_3
Rütgers Organics GmbH,19165,0.054205085,0.050583658,0.10443038,0.06557377,0.131260794,0.007497601,0.545454545,cluster_1
Selectcolor,16107,0.201592624,0.6692607,0.164556962,0.081967213,0.474956822,0.004518287,0.359865416,cluster_3
Sadaps Bardahl S.A.,12667,0.079631182,0.127431907,0.050632911,0.114754098,0.224525043,0.040853647,0.458365164,cluster_2
Traditem Gmbh,141,0.415479184,0.467898833,0.689873418,0,1,0,0,cluster_3
ROTA BOYA SANAYİ VE TİCARET LTD.ŞTİ.,11294,0.029337804,0,0.319620253,0.786885246,0.039723661,0.054505149,0,cluster_4
Trim Teknoloji ve Servis A.Ş.,19257,0.102682313,0.195525292,1,0,0.074265976,0,0,cluster_4
"PRODUCTOS JAFEP ,S.L.",6333,0.184548757,0.241245136,0.310126582,0.426229508,0.504317789,0.172932688,0,cluster_4
Rhein-Chemotechnik GmbH,19232,0.056859458,0.067120623,0.056962025,0.098360656,0.14507772,0.056741843,0.380577763,cluster_1
PINTURAS EUROTEX,5807,0.10547639,0.061284047,0.303797468,0.508196721,0.19343696,0.115392067,0,cluster_4
Yeğenler Kimya,24968,0.043727298,0.058365759,0.860759494,0,0.06044905,0,0,cluster_4
JSC 'Lakokraska' Lida,28165,0.056300643,0.043774319,0.699367089,0.032786885,0.075993092,0,0,cluster_4
Sadaps Bardahl S.A.,12667,0.079631182,0.127431907,0.050632911,0.114754098,0.224525043,0.040853647,0.229182582,cluster_2
distripark.com,1960,0.844230232,0.157587549,0.306962025,0.016393443,0.671848014,0.004811794,0,cluster_3
KSS YALITIM INSAAT SANAYI VE TICARET ANONIM SIRKETI,15218,0.050852193,0.052529183,0.212025316,0.37704918,0.13298791,0.007715344,0,cluster_4
Same Chemicals BV,12688,0.220592344,0.26848249,0.189873418,0.081967213,0.621761658,0.073940339,0,cluster_3
peri kimya,6619,0.06314613,0.023346304,0.237341772,0.229508197,0.122625216,0.117500542,0,cluster_4
Penta Chemicals,16252,0.11972618,0.3307393,0.351265823,0.032786885,0.260794473,0.006964438,0,cluster_2
2BM SRL,22636,0.241128807,0.458171206,0.272151899,0,0.26597582,0,0,cluster_2
Brockley Group Ltd,1348,0.083123778,0.307392996,0.151898734,0.098360656,0.371329879,0.132920066,0,cluster_2
CNI Kft.,6703,0.198379436,0.178988327,0.224683544,0.049180328,0.276338515,0.12934261,0,cluster_2
PQ Corporation,17692,0.126711372,0.120622568,0.215189873,0.147540984,0.297063903,1.07E-05,0,cluster_2
Yadex International GmbH,16317,0.150880134,0.290856031,0.186708861,0.098360656,0.208981002,0.093743335,0,cluster_2
Chemical company Eurochem,14535,0.088851635,0.253891051,0.360759494,0.016393443,0.115716753,0.003884079,0,cluster_2
LA-Solution GmbH,20092,0.218776194,0.513618677,0.240506329,0,0.255613126,0,0,cluster_2
Group of companies “TOPhim”,25796,0.293238335,0.107003891,0.126582278,0.032786885,0.651122625,0.042911268,0,cluster_3
Retana Transamerica S.A.,1287,0.489103101,1,0,0,0.267702936,0,0,cluster_3
ITS Medical GmbH,23746,0.161078514,0.255836576,0.243670886,0.032786885,0.22970639,4.67E-05,0,cluster_2
Kunststoff-und Farben-GmbH,17105,1.40E-04,0,0.009493671,0.229508197,0.001727116,0.395686714,0,cluster_0
MA-YDI d.o.o.,1150,0.653394803,0.567120623,0,0,0.487046632,0,0,cluster_3
"AKCOAT RECUBRIMIENTOS QUIMICOS ESPECIALIZADOS, SLU",18413,0.222827605,0.174124514,0.120253165,0,0.823834197,0,0,cluster_3
"Industrias Quimicas Novalk, SL",20775,0.16862252,0.187743191,0.180379747,0.032786885,0.476683938,0.005118362,0,cluster_2
DISLAB SAS,30578,0.232886281,0.267509728,0.205696203,0,0.300518135,0,0,cluster_2
FS Foreign Trade,27703,0.300782341,0.26848249,0.069620253,0.032786885,0.537132988,0.036530466,0,cluster_3
Brenntag GmbH,618,0.005588153,0.006809339,0.047468354,0.213114754,0.031088083,0.22326189,0,cluster_0
Cenik Chemicals,32571,0.760128528,0.255836576,0,0,0.495682211,0,0,cluster_3
Capua Boya,21085,0.001536742,0.008754864,0.183544304,0.180327869,0.005181347,2.48E-04,0,cluster_1
SAPEC QUÍMICA,3575,0.024867281,0.242217899,0.227848101,0.016393443,0.164075993,0.030390275,0,cluster_2
Yigitoglu Kimya,13054,0.50838223,0.142996109,0.066455696,0,0.528497409,0,0,cluster_3
Tüver boya kimya tekstil sanayi ve ticaret ltd.şti,12999,0.004191115,0.008754864,0.07278481,0.278688525,0.01208981,1.00E-04,0,cluster_0
Serhiy Ignazevuch,28914,0.075020956,0.122568093,0.272151899,0,0.043177893,0,0,cluster_1
ArtMedica d.o.o Istocno Sarajevo,18996,0.045822856,0.218871595,0.110759494,0.131147541,0.09671848,0,0,cluster_2
NanoPhos SA,16462,0.128667225,0.148832685,0.085443038,0.098360656,0.31433506,6.77E-04,0,cluster_2
Brenntag Nordic,8596,0.050572786,0.016536965,0.053797468,0.180327869,0.146804836,0.0852094,0,cluster_1
Technima France,20289,0.194048617,0.204280156,0.17721519,0,0.210708117,0,0,cluster_2
ASCOTEC,24547,0.118189438,0.459143969,0.098101266,0.016393443,0.212435233,0,0,cluster_2
Mavi Plastik Kimya Ins. San. Ve Dis Tic. A.S.,24258,0.128946633,0.091439689,0.132911392,0.016393443,0.336787565,0.042521169,0,cluster_2
DERIVERY,21892,0.114417435,0.270428016,0.098101266,0.016393443,0.284974093,0.047488804,0,cluster_2
Vellerino SDI,18754,0.073065102,0.142996109,0.088607595,0.114754098,0.179620035,0,0,cluster_2
CHEMIA BRUGG AG,1675,0.135931825,0.142023346,0.126582278,0.016393443,0.329879102,0.011377204,0,cluster_2
Rehmat and Brother,28345,0.205504331,0.21692607,0.085443038,0,0.433506045,0,0,cluster_2
International Trade Solutions,12226,0.296172115,0.219844358,0.110759494,0,0.186528497,0,0,cluster_2
Himipex Oil LLC,28499,0.085219335,0.075875486,0.21835443,0,0.110535406,0,0,cluster_1
Oqema AG,21563,0.165409332,0.219844358,0.034810127,0.049180328,0.392055268,0.012476008,0,cluster_2
HA Italia S.p.A. (Hüttenes-Albertus),6836,0.124196703,0.257782101,0.07278481,0.032786885,0.329879102,0,0,cluster_2
Global Galax,2397,0.066079911,0.145914397,0.120253165,0.06557377,0.13298791,0.021259864,0,cluster_2
PROCIV SRL,18007,0.232327466,0.182879377,0.094936709,0.016393443,0.227979275,0.002071337,0,cluster_2
EKOS-1,19975,0.055183012,0.094357977,0.151898734,0,0.331606218,0,0,cluster_2
Scholz Establishment & Co Kommanditges. Eschen Zweigniederlassung Dietikon,1499,0.33612741,0.539883268,0,0,0.189982729,0,0,cluster_2
Parkim Parfüm Plastik ve Kimya San. Ltd. Sti.,5966,0.058815312,0.173151751,0.180379747,0,0.107081174,0,0,cluster_2
Felföldi Édességgyártó Kft,24186,0.130203968,0.098249027,0.161392405,0,0.176165803,0,0,cluster_2
REMEI Blomberg GmbH & Co. KG,1445,0.132020117,0.130350195,0.012658228,0.049180328,0.502590674,0.013935541,0,cluster_2
RECOVER LTD./The Cyprus Institute (CyI),27245,0.084381112,0.081712062,0.117088608,0.06557377,0.129533679,1.61E-04,0,cluster_1
Mena-Kim Group,23206,0.051271305,0.05155642,0.205696203,0,0.077720207,0,0,cluster_1
ProLab Materials Srl,12844,0.08941045,0.147859922,0.129746835,0.016393443,0.160621762,0,0,cluster_2
Noxorsokemgroup srl,24812,0.08466052,0.045719844,0.047468354,0.06557377,0.369602763,0.013389049,0,cluster_2
Corquimia,16825,0.068175468,0.119649805,0.120253165,0.032786885,0.15716753,0.00938533,0,cluster_2
PRM - POLYTRADE RAW MATERIALS,1761,0.073763621,0.233463035,0.10443038,0,0.246977547,0,0,cluster_2
NTC,18409,0.065521095,0.171206226,0.110759494,0.032786885,0.146804836,0.006420612,0,cluster_2
LLC CHIMARTIS Pro,1145,0.353590388,0.474708171,0,0,0.127806563,0,0,cluster_2
Andreas Leingruber Landtechnik,33235,0.12154233,0.168287938,0.142405063,0,0.089810017,0,0,cluster_2
"Behn Meyer Chemicals (T) Co., Ltd.",1384,0.167784297,0.304474708,0,0,0.474956822,0,0,cluster_2
Sameca Produtos Químicos,25085,0.105196982,0.195525292,0.063291139,0.016393443,0.281519862,0.021992962,0,cluster_2
BAK Handelsbetrieb,19239,0.05658005,0.275291829,0.066455696,0,0.345423143,0,0,cluster_2
Saudi Factory For Environmental Solvents,32004,0.169321039,0.083657588,0.117088608,0,0.221070812,0,0,cluster_2
Centro-Chem,14239,0.117211512,0.318093385,0.047468354,0,0.310880829,0,0,cluster_2
QS ADHESIVES&SEALANTS S.L,1188,0.049175747,0.159533074,0.113924051,0.016393443,0.13298791,0.036155097,0,cluster_2
Georges S. Daras,27799,0.112740989,0.233463035,0.079113924,0,0.271157168,0,0,cluster_2
Grüssing GmbH,22772,0.073204806,0.208171206,0.091772152,0.016393443,0.219343696,1.40E-04,0,cluster_2
Dörken Service GmbH,10506,0.01606594,0.028210117,0.082278481,0.098360656,0.079447323,0.043067885,0,cluster_1
Baykim Kimya Ürünleri San.Tic.A.Ş.,33792,0.214305672,0.073929961,0.117088608,0,0.174438687,0,0,cluster_2
Agfa-Gevaert N.V.,13489,0.057138866,0.213035019,0.07278481,0.016393443,0.288428325,7.20E-04,0,cluster_2
Möller Chemie GmbH & Co. KG,21846,0.025006985,0.053501946,0.091772152,0.06557377,0.088082902,0.050633797,0,cluster_1
BELCHEMSERVICE JSC,23884,0.084520816,0.293774319,0.088607595,0,0.15716753,0,0,cluster_2
Stera Chemicals SRL,779,0.11497625,0.101167315,0.107594937,0,0.240069085,0,0,cluster_2
Sate Gıda ve Kimya San. ve Tic. Ltd. Şti,22559,0.139005309,0.240272374,0.066455696,0,0.234887737,0,0,cluster_2
Clariant,26056,0.145850796,0.11381323,0.037974684,0.016393443,0.366148532,0.018194178,0,cluster_2
Schindlerswerk GmbH & Co. KG,24724,0.123079072,0.176070039,0.063291139,0.016393443,0.2417962,0,0,cluster_2
Acril Nova,15036,0.094020676,0.081712062,0.10443038,0.032786885,0.126079447,0.003532203,0,cluster_1
yapı lider kimya sanayi ve ticaret a.ş,12461,0.064263761,0.116731518,0.148734177,0,0.077720207,0,0,cluster_1
