id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,ClusterPredicted K-means,cluster Kmeans 10000 runs
1,Hüttenes-Albertus Chemische Werke GmbH,326,0.10768587,0.333010649,0.085443038,0.06557377,0.228915663,0.020526765,1,465.7366472,1,3,3
2,Impag AG,23107,0.000557958,0,0.041139241,0,0.003442341,0,0.840336134,344.5623168,1,3,3
3,STOCKMEIER Chemie GmbH & Co. KG,10176,0.004742642,0.000968054,0.037974684,1,0.024096386,1,0,309.0852908,1,3,0
4,Rascor International AG,3406,0.053703445,0.075508228,0.03164557,0.016393443,0.180722892,0,0.64171123,281.7890227,1,3,3
5,JARBUR EUROCHEM Spółka Jawna,19068,1,0.913843175,0.661392405,0.016393443,0.838209983,0.007647553,0,273.9245827,1,2,1
6,Rütgers Organics GmbH,19165,0.054679872,0.050338819,0.10443038,0.06557377,0.13253012,0.007497601,0.545454545,264.8098489,1,3,3
7,Selectcolor,16107,0.209373692,0.68731849,0.170886076,0.081967213,0.485370052,0.004518287,0.359865416,264.0717647,1,2,1
8,Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.458365164,242.0126448,1,3,3
9,Traditem Gmbh,141,0.415818106,0.467570184,0.693037975,0,1,0,0,232.7770094,1,2,1
10,ROTA BOYA SANAYİ VE TİCARET LTD.ŞTİ.,11294,0.029292788,0,0.316455696,0.786885246,0.039586919,0.054505149,0,229.5626887,1,3,3
11,Trim Teknoloji ve Servis A.Ş.,19257,0.102524759,0.194578896,1,0,0.074010327,0,0,218.5556991,1,1,3
12,"PRODUCTOS JAFEP ,S.L.",6333,0.184126098,0.240077444,0.310126582,0.426229508,0.502581756,0.172932688,0,210.9037518,1,2,3
13,Rhein-Chemotechnik GmbH,19232,0.056772214,0.066795741,0.056962025,0.098360656,0.144578313,0.056741843,0.380577763,202.3771391,1,3,3
14,PINTURAS EUROTEX,5807,0.103640675,0.060987415,0.303797468,0.508196721,0.192771084,0.115392067,0,191.8080033,1,1,3
