id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points,KmeansClusterPredicted,cluster Kmeans 10000 runs,cluster (RM) 1000 runs,DBSCANClusterPredicted,AgloClusterPredicted,SpectralClusterPredicted
0,Hüttenes-Albertus Chemische Werke GmbH,326,0.10768587,0.333010649,0.085443038,0.06557377,0.228915663,0.020526765,1,465.7366472,1,3,3,3,0,0,4
1,Impag AG,23107,0.000557958,0,0.041139241,0,0.003442341,0,0.840336134,344.5623168,1,3,3,3,0,0,0
2,STOCKMEIER Chemie GmbH & Co. KG,10176,0.004742642,0.000968054,0.037974684,1,0.024096386,1,0,309.0852908,1,0,0,0,-1,1,3
3,Rascor International AG,3406,0.053703445,0.075508228,0.03164557,0.016393443,0.180722892,0,0.64171123,281.7890227,1,3,3,3,0,0,4
4,JARBUR EUROCHEM Spółka Jawna,19068,1,0.913843175,0.661392405,0.016393443,0.838209983,0.007647553,0,273.9245827,1,1,1,1,-1,4,1
5,Rütgers Organics GmbH,19165,0.054679872,0.050338819,0.10443038,0.06557377,0.13253012,0.007497601,0.545454545,264.8098489,1,3,3,3,0,0,4
6,Selectcolor,16107,0.209373692,0.68731849,0.170886076,0.081967213,0.485370052,0.004518287,0.359865416,264.0717647,1,1,1,1,0,4,4
7,Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.458365164,242.0126448,1,3,3,3,0,0,4
8,Traditem Gmbh,141,0.415818106,0.467570184,0.693037975,0,1,0,0,232.7770094,1,1,1,1,-1,4,2
9,ROTA BOYA SANAYİ VE TİCARET LTD.ŞTİ.,11294,0.029292788,0,0.316455696,0.786885246,0.039586919,0.054505149,0,229.5626887,1,0,3,3,0,1,3
10,Trim Teknoloji ve Servis A.Ş.,19257,0.102524759,0.194578896,1,0,0.074010327,0,0,218.5556991,1,4,3,3,0,1,3
11,"PRODUCTOS JAFEP ,S.L.",6333,0.184126098,0.240077444,0.310126582,0.426229508,0.502581756,0.172932688,0,210.9037518,1,1,3,3,0,1,4
12,Rhein-Chemotechnik GmbH,19232,0.056772214,0.066795741,0.056962025,0.098360656,0.144578313,0.056741843,0.380577763,202.3771391,1,3,3,3,0,0,4
13,PINTURAS EUROTEX,5807,0.103640675,0.060987415,0.303797468,0.508196721,0.192771084,0.115392067,0,191.8080033,1,4,3,3,0,1,3
14,Yeğenler Kimya,24968,0.043660204,0.058083253,0.860759494,0,0.060240964,0,0,180.2511197,1,4,3,3,0,1,3
15,"JSC ""Lakokraska"" Lida",28165,0.056214256,0.043562439,0.699367089,0.032786885,0.075731497,0,0,155.2062044,1,4,3,3,0,1,3
16,Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.229182582,150.339612,1,4,4,4,0,0,4
17,distripark.com,1960,0.851304227,0.156824782,0.306962025,0.016393443,0.691910499,0.004811794,0,150.1542483,1,1,1,1,0,4,2
18,KSS YALITIM INSAAT SANAYI VE TICARET ANONIM SIRKETI,15218,0.050774167,0.052274927,0.212025316,0.37704918,0.13253012,0.007715344,0,130.3653945,1,0,3,3,0,1,4
19,Same Chemicals BV,12688,0.223601618,0.281703775,0.189873418,0.081967213,0.624784854,0.073940339,0,118.2666724,1,1,1,1,0,4,4
20,peri kimya,6619,0.06304924,0.023233301,0.237341772,0.229508197,0.122203098,0.117500542,0,115.5443299,1,0,3,3,0,1,4
21,Penta Chemicals,16252,0.119542475,0.329138432,0.351265823,0.032786885,0.25989673,0.006964438,0,112.9358672,1,4,4,4,0,0,4
22,2BM SRL,22636,0.240758823,0.455953533,0.272151899,0,0.265060241,0,0,102.5190096,1,4,4,4,0,0,4
23,Brockley Group Ltd,1348,0.082996234,0.305905131,0.151898734,0.098360656,0.370051635,0.132920066,0,101.2915345,1,4,4,4,0,0,4
24,CNI Kft.,6703,0.198075045,0.178121975,0.227848101,0.049180328,0.275387263,0.12934261,0,100.919161,1,4,4,4,0,0,4
25,PQ Corporation,17692,0.126516948,0.120038722,0.215189873,0.147540984,0.296041308,1.07E-05,0,99.67708598,1,4,4,4,0,0,4
26,Chemical company Eurochem,14535,0.088715302,0.252662149,0.360759494,0.016393443,0.115318417,0.003884079,0,98.65378857,1,4,4,4,0,0,4
27,Yadex International GmbH,16317,0.1470219,0.289448209,0.186708861,0.098360656,0.208261618,0.093743335,0,98.62482319,1,4,4,4,0,0,4
28,LA-Solution GmbH,20092,0.218440508,0.511132623,0.240506329,0,0.254733219,0,0,97.31658331,1,4,4,4,0,0,4
29,Group of companies “TOPhim”,25796,0.293206863,0.106485963,0.126582278,0.032786885,0.65404475,0.042911268,0,88.85183841,1,1,1,1,0,4,4
30,Retana Transamerica S.A.,1287,0.488631608,1,0,0,0.270223752,0,0,87.94276802,1,1,1,1,0,4,2
31,ITS Medical GmbH,23746,0.160831357,0.254598258,0.243670886,0.032786885,0.228915663,4.67E-05,0,87.51348331,1,4,4,4,0,0,4
32,Kunststoff-und Farben-GmbH,17105,0.000139489,0,0.009493671,0.229508197,0.00172117,0.395686714,0,87.46207787,1,2,2,2,0,2,0
33,MA-YDI d.o.o.,1150,0.652392244,0.564375605,0,0,0.485370052,0,0,85.10689505,1,1,1,1,0,4,2
34,"AKCOAT RECUBRIMIENTOS QUIMICOS ESPECIALIZADOS, SLU",18413,0.222904171,0.173281704,0.120253165,0,0.82444062,0,0,85.08195762,1,1,1,1,0,4,4
35,"Industrias Quimicas Novalk, SL",20775,0.168363789,0.186834463,0.180379747,0.032786885,0.475043029,0.005118362,0,84.65722665,1,4,4,4,0,4,4
36,DISLAB SAS,30578,0.232528944,0.266214908,0.205696203,0,0.299483649,0,0,81.05061556,1,4,4,4,0,0,4
37,FS Foreign Trade,27703,0.300320826,0.267182962,0.069620253,0.032786885,0.535283993,0.036530466,0,79.27386335,1,1,1,1,0,4,4
38,Brenntag GmbH,618,0.005579579,0.006776379,0.047468354,0.213114754,0.030981067,0.22326189,0,76.60966193,1,2,2,2,0,2,0
39,Cenik Chemicals,32571,0.762867903,0.254598258,0,0,0.497418244,0,0,75.74422027,1,1,1,1,0,4,2
40,Capua Boya,21085,0.001534384,0.008712488,0.183544304,0.180327869,0.005163511,0.000247837,0,73.56973744,1,0,0,2,0,2,0
41,SAPEC QUÍMICA,3575,0.024829125,0.241045499,0.227848101,0.016393443,0.163511188,0.030390275,0,73.35662687,1,4,4,4,0,3,4
42,Yigitoglu Kimya,13054,0.507741666,0.143272023,0.066455696,0,0.528399312,0,0,72.26178925,1,1,1,1,0,4,4
43,Tüver boya kimya tekstil sanayi ve ticaret ltd.şti,12999,0.004184684,0.008712488,0.07278481,0.278688525,0.012048193,0.0001,0,71.55193198,1,2,2,2,0,2,0
44,NanoPhos SA,16462,0.132096527,0.148112294,0.085443038,0.098360656,0.323580034,0.000677254,0,67.01790696,1,4,4,4,0,0,4
45,Serhiy Ignazevuch,28914,0.074905845,0.121974831,0.272151899,0,0.04302926,0,0,66.4258765,1,0,4,4,0,3,4
46,ArtMedica d.o.o Istocno Sarajevo,18996,0.045752546,0.217812197,0.110759494,0.131147541,0.096385542,0,0,66.3789212,1,4,4,4,0,3,4
47,Brenntag Nordic,8596,0.050495188,0.016456922,0.053797468,0.180327869,0.146299484,0.0852094,0,66.00858705,1,0,4,4,0,2,4
48,Technima France,20289,0.193750872,0.203291384,0.17721519,0,0.209982788,0,0,65.7942902,1,4,4,4,0,0,4
49,ASCOTEC,24547,0.11800809,0.456921588,0.098101266,0.016393443,0.211703959,0,0,62.23062352,1,4,4,4,0,0,4
50,Mavi Plastik Kimya Ins. San. Ve Dis Tic. A.S.,24258,0.128748779,0.090997096,0.132911392,0.016393443,0.335628227,0.042521169,0,61.88178903,1,4,4,4,0,0,4
51,CHEMIA BRUGG AG,1675,0.140326405,0.144240077,0.129746835,0.016393443,0.340791738,0.011377204,0,61.63368705,1,4,4,4,0,0,4
52,DERIVERY,21892,0.114241875,0.269119071,0.098101266,0.016393443,0.283993115,0.047488804,0,61.01552508,1,4,4,4,0,0,4
53,Vellerino SDI,18754,0.072952992,0.142303969,0.088607595,0.114754098,0.179001721,0,0,60.38527277,1,4,4,4,0,3,4
54,Rehmat and Brother,28345,0.205189008,0.215876089,0.085443038,0,0.432013769,0,0,59.74255093,1,4,4,4,0,4,4
55,Himipex Oil LLC,28499,0.085228065,0.075508228,0.21835443,0,0.111876076,0,0,57.30150455,1,0,4,4,0,3,4
56,Oqema AG,21563,0.165155531,0.218780252,0.034810127,0.049180328,0.39070568,0.012476008,0,56.77776477,1,4,4,4,0,4,4
57,HA Italia S.p.A. (Hüttenes-Albertus),6836,0.124006138,0.256534366,0.07278481,0.032786885,0.328743546,0,0,56.57854153,1,4,4,4,0,0,4
