id,Companyname,Companyid,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,KmeansClusterPredicted_2Clusters,KmeansClusterPredicted_3Clusters,KmeansClusterPredicted_4Clusters,KmeansClusterPredicted_5Clusters,KmeansClusterPredicted_6Clusters,KmeansClusterPredicted_7Clusters,KmeansClusterPredicted_8Clusters
0,STOCKMEIER Chemie GmbH & Co. KG,86,0.372079972,0.034168565,0,0.317241379,0.329841521,0,0,0,57.79185662,1,1,2,0,1,0,6,7
1,Harold Scholz & Co. GmbH,101,0.070431428,0.027334852,0.027272727,0.769911504,0.708888889,0.001840107,0,0,88.56711754,1,0,1,1,0,3,1,0
2,Noahs Ark Chemicals,102,0.022307962,0.020501139,0,0.30075188,0.565,0,0,0,48.50321988,1,1,0,2,1,0,6,7
3,Goodpack Europe,109,0.001262715,0,0,0,0.5,0,0,0,25.06313574,2,1,0,2,1,4,2,1
4,Air Liquide Deutschland Gmbh,116,0,0,0,0,0,0,0,0,0,2,1,2,0,3,2,0,3
5,Perstorp Group,126,0.00764644,0,0,0.125,0.561764706,0,0,0,34.72055729,2,1,0,2,1,4,2,1
6,Syskem Chemie Gmbh,134,0.320098211,0.25284738,0.072727273,1,0.34095057,0.001466281,0,0.6,268.3139978,0,0,1,3,4,5,5,4
7,Bch Brühl - Chemikalien Handel Gmbh,135,0.010101719,0.027334852,0.009090909,0.821428571,0.613,0,0,0,79.51166671,1,0,1,1,0,3,1,5
8,Traditem GmbH,142,0.180217468,0.059225513,0.009090909,0.289644013,0.322283814,0.002311311,0,0,53.50168018,1,1,2,0,1,0,6,7
9,Häffner GmbH & Co. KG,145,0.506839705,0.671981777,0.081818182,0.988261189,0.53538937,0.019186482,0,0,254.2031531,0,0,1,1,0,3,1,5
10,Rescom Srl,150,0.004700105,0,0,0,0.43,0,0,0,21.73500526,2,1,0,2,1,4,2,1
11,Cofermin Chemicals,167,0.018519818,0.043280182,0,0.923076923,0.57,0,0,0.9,264.2358735,0,0,1,3,4,5,5,4
