id,Company Name,Company id,Count Page View,Count Search,Count Requests,Count Orders,Count Session Id,Total Order Value In Euro,Monetize Amount,Final Points,Groups on Final Points
0,Hüttenes-Albertus Chemische Werke GmbH,326,0.10768587,0.333010649,0.085443038,0.06557377,0.228915663,0.020526765,1,465.7366472,1
1,Impag AG,23107,0.000557958,0,0.041139241,0,0.003442341,0,0.840336134,344.5623168,1
2,STOCKMEIER Chemie GmbH & Co. KG,10176,0.004742642,0.000968054,0.037974684,1,0.024096386,1,0,309.0852908,1
3,Rascor International AG,3406,0.053703445,0.075508228,0.03164557,0.016393443,0.180722892,0,0.64171123,281.7890227,1
4,JARBUR EUROCHEM Spółka Jawna,19068,1,0.913843175,0.661392405,0.016393443,0.838209983,0.007647553,0,273.9245827,1
5,Rütgers Organics GmbH,19165,0.054679872,0.050338819,0.10443038,0.06557377,0.13253012,0.007497601,0.545454545,264.8098489,1
6,Selectcolor,16107,0.209373692,0.68731849,0.170886076,0.081967213,0.485370052,0.004518287,0.359865416,264.0717647,1
7,Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.458365164,242.0126448,1
8,Traditem Gmbh,141,0.415818106,0.467570184,0.693037975,0,1,0,0,232.7770094,1
9,ROTA BOYA SANAYİ VE TİCARET LTD.ŞTİ.,11294,0.029292788,0,0.316455696,0.786885246,0.039586919,0.054505149,0,229.5626887,1
10,Trim Teknoloji ve Servis A.Ş.,19257,0.102524759,0.194578896,1,0,0.074010327,0,0,218.5556991,1
11,"PRODUCTOS JAFEP ,S.L.",6333,0.184126098,0.240077444,0.310126582,0.426229508,0.502581756,0.172932688,0,210.9037518,1
12,Rhein-Chemotechnik GmbH,19232,0.056772214,0.066795741,0.056962025,0.098360656,0.144578313,0.056741843,0.380577763,202.3771391,1
13,PINTURAS EUROTEX,5807,0.103640675,0.060987415,0.303797468,0.508196721,0.192771084,0.115392067,0,191.8080033,1
14,Yeğenler Kimya,24968,0.043660204,0.058083253,0.860759494,0,0.060240964,0,0,180.2511197,1
15,"JSC ""Lakokraska"" Lida",28165,0.056214256,0.043562439,0.699367089,0.032786885,0.075731497,0,0,155.2062044,1
16,Sadaps Bardahl S.A.,12667,0.079508997,0.126815102,0.050632911,0.114754098,0.223752151,0.040853647,0.229182582,150.339612,1
17,distripark.com,1960,0.851304227,0.156824782,0.306962025,0.016393443,0.691910499,0.004811794,0,150.1542483,1
18,KSS YALITIM INSAAT SANAYI VE TICARET ANONIM SIRKETI,15218,0.050774167,0.052274927,0.212025316,0.37704918,0.13253012,0.007715344,0,130.3653945,1
19,Same Chemicals BV,12688,0.223601618,0.281703775,0.189873418,0.081967213,0.624784854,0.073940339,0,118.2666724,1
20,peri kimya,6619,0.06304924,0.023233301,0.237341772,0.229508197,0.122203098,0.117500542,0,115.5443299,1
21,Penta Chemicals,16252,0.119542475,0.329138432,0.351265823,0.032786885,0.25989673,0.006964438,0,112.9358672,1
22,2BM SRL,22636,0.240758823,0.455953533,0.272151899,0,0.265060241,0,0,102.5190096,1
23,Brockley Group Ltd,1348,0.082996234,0.305905131,0.151898734,0.098360656,0.370051635,0.132920066,0,101.2915345,1
24,CNI Kft.,6703,0.198075045,0.178121975,0.227848101,0.049180328,0.275387263,0.12934261,0,100.919161,1
25,PQ Corporation,17692,0.126516948,0.120038722,0.215189873,0.147540984,0.296041308,1.07E-05,0,99.67708598,1
26,Chemical company Eurochem,14535,0.088715302,0.252662149,0.360759494,0.016393443,0.115318417,0.003884079,0,98.65378857,1
27,Yadex International GmbH,16317,0.1470219,0.289448209,0.186708861,0.098360656,0.208261618,0.093743335,0,98.62482319,1
28,LA-Solution GmbH,20092,0.218440508,0.511132623,0.240506329,0,0.254733219,0,0,97.31658331,1
29,Group of companies “TOPhim”,25796,0.293206863,0.106485963,0.126582278,0.032786885,0.65404475,0.042911268,0,88.85183841,1
30,Retana Transamerica S.A.,1287,0.488631608,1,0,0,0.270223752,0,0,87.94276802,1
31,ITS Medical GmbH,23746,0.160831357,0.254598258,0.243670886,0.032786885,0.228915663,4.67E-05,0,87.51348331,1
32,Kunststoff-und Farben-GmbH,17105,0.000139489,0,0.009493671,0.229508197,0.00172117,0.395686714,0,87.46207787,1
33,MA-YDI d.o.o.,1150,0.652392244,0.564375605,0,0,0.485370052,0,0,85.10689505,1
34,"AKCOAT RECUBRIMIENTOS QUIMICOS ESPECIALIZADOS, SLU",18413,0.222904171,0.173281704,0.120253165,0,0.82444062,0,0,85.08195762,1
35,"Industrias Quimicas Novalk, SL",20775,0.168363789,0.186834463,0.180379747,0.032786885,0.475043029,0.005118362,0,84.65722665,1
36,DISLAB SAS,30578,0.232528944,0.266214908,0.205696203,0,0.299483649,0,0,81.05061556,1
37,FS Foreign Trade,27703,0.300320826,0.267182962,0.069620253,0.032786885,0.535283993,0.036530466,0,79.27386335,1
38,Brenntag GmbH,618,0.005579579,0.006776379,0.047468354,0.213114754,0.030981067,0.22326189,0,76.60966193,1
39,Cenik Chemicals,32571,0.762867903,0.254598258,0,0,0.497418244,0,0,75.74422027,1
40,Capua Boya,21085,0.001534384,0.008712488,0.183544304,0.180327869,0.005163511,0.000247837,0,73.56973744,1
41,SAPEC QUÍMICA,3575,0.024829125,0.241045499,0.227848101,0.016393443,0.163511188,0.030390275,0,73.35662687,1
42,Yigitoglu Kimya,13054,0.507741666,0.143272023,0.066455696,0,0.528399312,0,0,72.26178925,1
43,Tüver boya kimya tekstil sanayi ve ticaret ltd.şti,12999,0.004184684,0.008712488,0.07278481,0.278688525,0.012048193,0.0001,0,71.55193198,1
44,NanoPhos SA,16462,0.132096527,0.148112294,0.085443038,0.098360656,0.323580034,0.000677254,0,67.01790696,1
45,Serhiy Ignazevuch,28914,0.074905845,0.121974831,0.272151899,0,0.04302926,0,0,66.4258765,1
46,ArtMedica d.o.o Istocno Sarajevo,18996,0.045752546,0.217812197,0.110759494,0.131147541,0.096385542,0,0,66.3789212,1
47,Brenntag Nordic,8596,0.050495188,0.016456922,0.053797468,0.180327869,0.146299484,0.0852094,0,66.00858705,1
48,Technima France,20289,0.193750872,0.203291384,0.17721519,0,0.209982788,0,0,65.7942902,1
49,ASCOTEC,24547,0.11800809,0.456921588,0.098101266,0.016393443,0.211703959,0,0,62.23062352,1
50,Mavi Plastik Kimya Ins. San. Ve Dis Tic. A.S.,24258,0.128748779,0.090997096,0.132911392,0.016393443,0.335628227,0.042521169,0,61.88178903,1
51,CHEMIA BRUGG AG,1675,0.140326405,0.144240077,0.129746835,0.016393443,0.340791738,0.011377204,0,61.63368705,1
52,DERIVERY,21892,0.114241875,0.269119071,0.098101266,0.016393443,0.283993115,0.047488804,0,61.01552508,1
53,Vellerino SDI,18754,0.072952992,0.142303969,0.088607595,0.114754098,0.179001721,0,0,60.38527277,1
54,Rehmat and Brother,28345,0.205189008,0.215876089,0.085443038,0,0.432013769,0,0,59.74255093,1
55,Himipex Oil LLC,28499,0.085228065,0.075508228,0.21835443,0,0.111876076,0,0,57.30150455,1
56,Oqema AG,21563,0.165155531,0.218780252,0.034810127,0.049180328,0.39070568,0.012476008,0,56.77776477,1
57,HA Italia S.p.A. (Hüttenes-Albertus),6836,0.124006138,0.256534366,0.07278481,0.032786885,0.328743546,0,0,56.57854153,1
58,Global Galax,2397,0.065978519,0.145208132,0.120253165,0.06557377,0.13253012,0.021259864,0,56.4772119,1
59,PROCIV SRL,18007,0.231970986,0.181994192,0.094936709,0.016393443,0.227194492,0.002071337,0,54.53114752,1
60,EKOS-1,19975,0.05509834,0.093901258,0.151898734,0,0.330464716,0,0,54.35296256,1
61,International Trade Solutions,12226,0.286511368,0.203291384,0.101265823,0,0.185886403,0,0,54.03762233,1
62,Scholz Establishment & Co Kommanditges. Eschen Zweigniederlassung Dietikon,1499,0.335611661,0.537270087,0,0,0.189328744,0,0,53.1105246,1
63,Parkim Parfüm Plastik ve Kimya San. Ltd. Sti.,5966,0.058725066,0.17231365,0.180379747,0,0.106712565,0,0,52.96351339,1
64,Felföldi Édességgyártó Kft,24186,0.130004185,0.097773475,0.161392405,0,0.17555938,0,0,52.44533303,1
65,REMEI Blomberg GmbH & Co. KG,1445,0.131817548,0.129719264,0.012658228,0.049180328,0.500860585,0.013935541,0,51.88113507,1
66,RECOVER LTD./The Cyprus Institute (CyI),27245,0.084251639,0.081316554,0.117088608,0.06557377,0.12908778,0.000161282,0,51.28140241,1
67,Corquimia,16825,0.071558097,0.120038722,0.126582278,0.032786885,0.168674699,0.00938533,0,50.82594166,1
68,Mena-Kim Group,23206,0.051192635,0.051306873,0.205696203,0,0.077452668,0,0,50.1368493,1
69,Andreas Leingruber Landtechnik,33235,0.136281211,0.176185866,0.14556962,0,0.099827883,0,0,49.72867206,1
70,Noxorsokemgroup srl,24812,0.085367555,0.045498548,0.047468354,0.06557377,0.373493976,0.013389049,0,49.1653338,1
71,ProLab Materials Srl,12844,0.08927326,0.14714424,0.129746835,0.016393443,0.160068847,0,0,49.05237295,1
72,PRM - POLYTRADE RAW MATERIALS,1761,0.075742781,0.232333011,0.10443038,0,0.254733219,0,0,49.02652648,1
73,Centro-Chem,14239,0.12344818,0.332042594,0.047468354,0,0.330464716,0,0,48.79144539,1
74,NTC,18409,0.065420561,0.170377541,0.110759494,0.032786885,0.146299484,0.006420612,0,48.45621627,1
75,Sameca Produtos Químicos,25085,0.106709443,0.197483059,0.066455696,0.016393443,0.289156627,0.021992962,0,48.43658044,1
76,BAK Handelsbetrieb,19239,0.059701493,0.279767667,0.066455696,0,0.361445783,0,0,48.33688637,1
77,Baykim Kimya Ürünleri San.Tic.A.Ş.,33792,0.224717534,0.07357212,0.117088608,0,0.192771084,0,0,47.97075843,1
78,LLC CHIMARTIS Pro,1145,0.349560608,0.476282672,0,0,0.13253012,0,0,47.91867002,1
79,"Behn Meyer Chemicals (T) Co., Ltd.",1384,0.167526852,0.303000968,0,0,0.473321859,0,0,47.19248393,1
