Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
distripark.com Sp. z o.o.,1420,Oksana Senchyshyn,1,1,0.118181818,1,0.72744186,0.048541409,0,1,564.8625976,0,,5
Same Chemicals BV,1286,Juan Alvarado,0.147316731,0.578587699,0.4,0.558599696,0.563013699,0.545682492,0,0.8,473.7322953,0,,5
Chemische Fabrik Budenheim KG,7036,Florian Pagels,0.028130481,0.161731207,1,1,0.736764706,1,0,0,420.5910008,0,,5
Preparados Quimicos De Navarra S.L.,435,Juan Alvarado,0.499052964,0.956719818,0.445454545,0.772413793,0.724715447,0.057757785,0.08,0,410.0197614,0,,5
OOO SIBUR,1380,Oksana Senchyshyn,0.173833743,0,0,0.979591837,0.661243781,0,1,0,390.733468,0,,2
Röhm GmbH,6834,Florian Pagels,0.088179586,0.025056948,0.2,1,0.57,0.338261334,0,1,361.7465022,0,,1
Arcane Industries,492,Houcem Bakkari,0.396282006,0.157175399,0.045454545,0.996688742,0.781119403,0.004404648,0,1,349.6709611,0,,1
Gri Beyaz,12442,Umut Öztürk,0.111750263,0.134396355,0.154545455,1,0.474026846,0.000535265,0,1,337.1307439,0,,1
Livchem Logistics GmbH,1504,Julian Panchyrz,0.661732725,0.148063781,0.027272727,0.706666667,0.568504068,0.000404565,0,1,331.9529313,0,,1
Mercur Handel GmbH,355,Florian Pagels,0.207576289,0.141230068,0.036363636,0.855421687,0.543333333,0.009538029,0,1,316.7891093,0,,1
Ing. Petr Svec - PENTA s.r.o.,1407,Oksana Senchyshyn,0.208067345,0.08428246,0.054545455,0.969879518,0.568558559,0.010671758,0,1,316.1580298,0,,1
Aryan Chemicals,8661,Dimitrios Ntounas,0.037390389,0.054669704,0.009090909,1,1,0.007339474,0,1,315.3555895,0,,1
WTB Rohstoff,19033,Julian Panchyrz,0.049666784,0.047835991,0.063636364,1,0.751777778,0.003624428,0,1,312.7291418,0,,1
HARKE Chemicals GmbH,253,Florian Pagels,0.178183094,0.166287016,0.027272727,0.845,0.699090909,0.017859352,0,0.9,306.611584,0,,1
"BONUSTRADE, TRADE AND PRODUCTION ENTERPRISE, LLC",14541,Oksana Senchyshyn,0.050157839,0.009111617,0.009090909,1,0.85516129,0,0,1,298.9064618,0,,1
Shanpar Industries Pvt Ltd.,7239,Umut Öztürk,0.091476675,0.061503417,0,0.787234043,0.849150327,0,0,1,298.6937356,0,,1
Zavod Kronakril LLC,17014,Oksana Senchyshyn,0.006243423,0.01594533,0.036363636,0.923076923,0.8,0.004944212,0,1,297.4222318,0,,1
OQEMA AG,12078,Florian Pagels,0.241388986,0.075170843,0.018181818,0.998007968,0.246560365,0.001892515,0,1,293.1576497,0,,1
Arkem Chemicals Germany GmbH,2197,Florian Pagels,0.033742546,0.223234624,0.090909091,0.995633188,0.524776119,0.081886462,0,0.7,288.7249819,0,,1
Nishant Organics Pvt. Ltd.,6126,na,0.012136093,0.011389522,0.009090909,1,0.64,0,0,1,286.7028908,0,,1
Superior Spirits Ltd,2968,Florian Pagels,0.042371098,0.013667426,0,0.944444444,0.682,0,0,1,286.1742623,0,,1
Connect Chemicals GmbH,1797,Florian Pagels,0.144580849,0.097949886,0.054545455,0.870317003,0.357504873,0.007954091,0.05,0.833333333,281.5812802,0,,1
Acril Nova,15094,Marcello Sanz,0.043633813,0.070615034,0.054545455,1,0.385,0.015709695,0,0.9,278.0347579,0,,1
HELM AG,2830,Julian Panchyrz,0.185478779,0.066059226,0.036363636,1,0.687368421,0.002880541,0,0.8,274.4149865,0,,1
OQ Chemicals GmbH,5361,Julian Panchyrz,0.038653104,0.006833713,0,1,0.816578947,0,0,0.9,274.1283452,0,,1
Mosselman SA,343,Houcem Bakkari,0.60940021,0.157175399,0.118181818,0.740506329,0.553969466,0.038008442,0,0.6,274.0660878,0,,1
Rozachim JSC,17076,Dimitrios Ntounas,0.02293932,0.034168565,0.009090909,0.794642857,0.458823529,0.008770601,0,1,273.3492402,0,,1
Laboratorios Argenol SL,2098,Juan Alvarado,0.083900386,0,0,0.777777778,0.980666667,0,0,0.9,272.1172415,0,,1
Syskem Chemie Gmbh,134,Florian Pagels,0.320098211,0.25284738,0.072727273,1,0.34095057,0.001466281,0,0.6,268.3139978,0,,1
Cofermin Chemicals,167,Florian Pagels,0.018519818,0.043280182,0,0.923076923,0.57,0,0,0.9,264.2358735,0,,1
Teknova Matbaacilik Kimya Sanayi ve Ticaret A. Ş.,2691,Umut Öztürk,0.002174676,0.01594533,0,0.7,0.501538462,0,0,1,263.3747229,0,,1
RV NEORESINS,23075,Juan Alvarado,0.006243423,0.002277904,0.009090909,0.8,0.715,0.01586447,0,0.9,259.9223809,0,,1
VladaChem GmbH,2376,Julian Panchyrz,0.391932655,0.211845103,0.045454545,0.728070175,0.427593031,0.000889958,0,0.65,258.9287185,0,,1
Sagar Speciality Chemicals Private Limited,2270,Dimitrios Ntounas,0.016976499,0.004555809,0,0.928571429,0.5975,0,0,0.9,258.0635581,0,,1
Häffner GmbH & Co. KG,145,Florian Pagels,0.506839705,0.671981777,0.081818182,0.988261189,0.53538937,0.019186482,0,0,254.2031531,0,,5
AKPA KIMYA AMBALAJ SANAYI VE TICARET ANONIM SIRKETI_S,13303,Umut Öztürk,0.04426517,0.004555809,0,0.8,0.445217391,0,0,0.9,245.3852898,0,,1
